avaliacao_id,vendedor_id,comprador_id,data_avaliacao,data_criacao_conta,nota,ip_origem,texto_avaliacao
AVAL-00049,VEND-0071,COMP-01635,2024-01-04,2023-09-29,5,210.55.90.179,"Produto ok, dentro do esperado."
AVAL-00050,VEND-0117,COMP-03813,2023-07-01,2021-10-31,4,114.8.79.8,Não gostei da qualidade.
AVAL-00051,VEND-0065,COMP-03514,2023-07-19,2021-07-27,4,120.135.41.145,Demorou um pouco mas chegou bem.
AVAL-00052,VEND-0080,COMP-02161,2023-05-09,2021-10-30,3,116.242.163.160,"Produto ok, dentro do esperado."
AVAL-00053,VEND-0081,COMP-03011,2024-05-31,2022-11-17,5,190.194.19.134,Bom produto pelo preço.
AVAL-00054,VEND-0042,COMP-00393,2024-04-03,2024-04-01,5,192.168.1.102,Entrega rápida e produto de qualidade!
AVAL-00055,VEND-0064,COMP-00086,2023-03-28,2021-06-15,3,23.202.161.64,"Produto ok, dentro do esperado."
AVAL-00056,VEND-0053,COMP-04458,2024-10-02,2024-06-09,4,59.158.183.183,"Produto ok, dentro do esperado."
AVAL-00057,VEND-0075,COMP-01197,2024-06-30,2022-07-24,5,86.62.48.68,Demorou um pouco mas chegou bem.
AVAL-00058,VEND-0047,COMP-01694,2024-09-15,2023-05-21,1,63.50.2.188,Demorou um pouco mas chegou bem.
AVAL-00059,VEND-0020,COMP-03239,2023-10-20,2021-12-23,4,235.115.248.2,Bom produto pelo preço.
AVAL-00060,VEND-0051,COMP-03588,2023-06-04,2021-12-23,2,254.153.187.167,Não gostei da qualidade.
AVAL-00061,VEND-0110,COMP-01706,2023-08-14,2022-02-11,4,31.152.247.194,Não gostei da qualidade.
AVAL-00062,VEND-0007,COMP-01886,2023-07-12,2022-08-01,5,20.153.24.130,Bom produto pelo preço.
AVAL-00063,VEND-0109,COMP-00699,2024-12-23,2024-06-17,5,128.103.223.42,Demorou um pouco mas chegou bem.
AVAL-00064,VEND-0063,COMP-02505,2023-03-22,2022-12-16,3,79.12.41.57,Demorou um pouco mas chegou bem.
AVAL-00065,VEND-0106,COMP-03901,2024-12-08,2023-08-21,4,75.244.80.98,Demorou um pouco mas chegou bem.
AVAL-00066,VEND-0117,COMP-01273,2024-05-11,2023-01-14,4,55.61.32.233,"Veio com defeito, pedi troca."
AVAL-00067,VEND-0051,COMP-01008,2023-08-15,2021-09-17,1,92.220.198.23,Excelente custo-benefício.
AVAL-00068,VEND-0048,COMP-03469,2023-05-15,2022-07-05,4,254.179.172.171,"Produto ok, dentro do esperado."
AVAL-00069,VEND-0092,COMP-03920,2024-09-25,2023-05-08,2,30.120.194.95,Demorou um pouco mas chegou bem.
AVAL-00070,VEND-0032,COMP-04959,2024-03-11,2022-04-19,4,122.19.205.203,"Veio com defeito, pedi troca."
AVAL-00071,VEND-0005,COMP-04317,2024-10-31,2024-07-18,4,115.110.28.45,Produto diferente da foto.
AVAL-00072,VEND-0034,COMP-00875,2023-07-09,2023-03-16,1,17.85.76.121,"Veio com defeito, pedi troca."
AVAL-00073,VEND-0087,COMP-01960,2023-04-28,2022-02-02,2,31.162.212.21,
AVAL-00074,VEND-0118,COMP-04452,2023-12-10,2022-11-07,2,150.224.70.41,Demorou um pouco mas chegou bem.
AVAL-00075,VEND-0014,COMP-04745,2023-05-13,2021-09-10,3,175.203.63.215,Demorou um pouco mas chegou bem.
AVAL-00076,VEND-0063,COMP-04200,2023-01-27,2021-05-04,3,28.195.7.108,Excelente custo-benefício.
AVAL-00077,VEND-0057,COMP-00313,2023-04-03,2021-10-02,2,193.135.245.46,"Veio com defeito, pedi troca."
AVAL-00078,VEND-0024,COMP-02477,2024-02-18,2023-05-06,5,149.6.58.86,Excelente custo-benefício.
AVAL-00079,VEND-0079,COMP-00957,2024-11-22,2024-10-17,2,230.132.100.166,"Veio com defeito, pedi troca."
AVAL-00080,VEND-0039,COMP-00951,2023-07-27,2023-05-08,5,171.130.113.240,Demorou um pouco mas chegou bem.
AVAL-00081,VEND-0032,COMP-00877,2023-12-16,2022-11-27,5,167.99.216.123,Não gostei da qualidade.
AVAL-00082,VEND-0103,COMP-02342,2024-07-29,2023-12-14,4,150.85.137.88,Produto diferente da foto.
AVAL-00083,VEND-0013,COMP-03623,2024-04-04,2024-01-04,2,223.59.77.136,"Produto ok, dentro do esperado."
AVAL-00084,VEND-0053,COMP-00342,2023-09-05,2023-01-27,5,191.55.246.45,Não gostei da qualidade.
AVAL-00085,VEND-0075,COMP-02581,2023-09-13,2023-01-31,4,154.14.170.24,"Recomendo, boa experiência."
AVAL-00086,VEND-0100,COMP-04680,2023-01-22,2022-11-24,3,60.77.187.178,"Produto ok, dentro do esperado."
AVAL-00087,VEND-0032,COMP-01672,2024-09-13,2023-05-05,2,88.36.51.127,"Veio com defeito, pedi troca."
AVAL-00088,VEND-0028,COMP-01451,2023-04-11,2023-01-21,4,172.244.112.202,Não gostei da qualidade.
AVAL-00089,VEND-0009,COMP-04045,2023-01-04,2021-03-16,5,215.57.178.37,"Produto ok, dentro do esperado."
AVAL-00090,VEND-0033,COMP-01749,2024-04-27,2022-11-15,3,170.122.108.228,"Recomendo, boa experiência."
AVAL-00091,VEND-0038,COMP-04879,2023-07-24,2021-10-18,5,77.100.155.89,"Veio com defeito, pedi troca."
AVAL-00092,VEND-0090,COMP-00654,2023-06-01,2022-09-14,5,249.91.207.115,Produto diferente da foto.
AVAL-00093,VEND-0017,COMP-04695,2023-06-29,2022-11-01,4,183.118.75.14,
AVAL-00094,VEND-0017,COMP-04156,2023-12-21,2022-05-03,4,208.90.8.142,"Recomendo, boa experiência."
AVAL-00095,VEND-0014,COMP-00397,2024-04-10,2023-03-02,5,208.186.176.153,Não gostei da qualidade.
AVAL-00096,VEND-0087,COMP-04030,2024-02-11,2023-11-12,5,103.90.151.112,"Recomendo, boa experiência."
AVAL-00097,VEND-0109,COMP-00425,2024-04-23,2022-11-08,5,233.151.83.22,"Recomendo, boa experiência."
AVAL-00098,VEND-0079,COMP-02806,2024-10-17,2023-08-23,2,106.221.50.147,Bom produto pelo preço.
AVAL-00099,VEND-0107,COMP-01787,2024-02-20,2023-10-05,1,44.102.151.155,"Veio com defeito, pedi troca."
AVAL-00100,VEND-0042,COMP-00087,2024-01-01,2023-12-26,5,192.168.1.102,Superou minhas expectativas! 10/10
AVAL-00101,VEND-0003,COMP-01040,2023-11-18,2022-10-01,2,245.142.130.236,
AVAL-00102,VEND-0120,COMP-03829,2023-09-05,2023-05-18,5,92.177.200.95,"Veio com defeito, pedi troca."
AVAL-00103,VEND-0077,COMP-00485,2023-10-15,2022-08-24,3,234.228.149.187,Produto diferente da foto.
AVAL-00104,VEND-0111,COMP-01726,2024-06-06,2024-01-19,1,241.27.133.177,"Veio com defeito, pedi troca."
AVAL-00105,VEND-0013,COMP-02455,2023-08-18,2021-11-09,3,15.162.219.74,Excelente custo-benefício.
AVAL-00106,VEND-0058,COMP-01465,2023-02-08,2021-04-23,2,162.60.10.53,
AVAL-00107,VEND-0060,COMP-01295,2023-04-16,2022-01-25,2,109.125.124.138,"Recomendo, boa experiência."
AVAL-00108,VEND-0019,COMP-03474,2023-11-21,2022-05-31,5,195.168.59.29,"Recomendo, boa experiência."
AVAL-00109,VEND-0067,COMP-03717,2024-12-28,2023-11-08,3,121.25.59.96,Excelente custo-benefício.
AVAL-00110,VEND-0100,COMP-03414,2023-06-20,2022-11-29,5,75.60.10.39,Bom produto pelo preço.
AVAL-00111,VEND-0032,COMP-01108,2024-09-18,2022-10-04,3,130.30.51.178,Não gostei da qualidade.
AVAL-00112,VEND-0105,COMP-02872,2024-08-21,2022-11-30,4,217.99.109.182,"Veio com defeito, pedi troca."
AVAL-00113,VEND-0104,COMP-00326,2024-12-16,2023-07-18,5,137.24.202.180,Excelente custo-benefício.
AVAL-00114,VEND-0119,COMP-01692,2023-09-30,2022-12-15,2,24.108.77.103,"Produto ok, dentro do esperado."
AVAL-00115,VEND-0109,COMP-01615,2023-03-14,2022-05-08,4,38.142.63.147,Bom produto pelo preço.
AVAL-00116,VEND-0067,COMP-03063,2023-10-14,2022-09-21,4,36.48.122.103,Não gostei da qualidade.
AVAL-00117,VEND-0100,COMP-01933,2024-03-14,2023-12-16,3,141.245.40.139,"Produto ok, dentro do esperado."
AVAL-00118,VEND-0093,COMP-03043,2024-07-19,2023-10-19,3,247.153.118.38,Excelente custo-benefício.
AVAL-00119,VEND-0050,COMP-00778,2024-06-22,2022-10-13,5,162.149.147.90,
AVAL-00120,VEND-0065,COMP-02995,2024-03-27,2022-07-15,2,14.234.222.105,"Produto ok, dentro do esperado."
AVAL-00121,VEND-0064,COMP-00256,2023-12-10,2022-12-08,5,103.65.239.9,Não gostei da qualidade.
AVAL-00122,VEND-0001,COMP-01547,2024-02-08,2022-04-02,4,172.96.51.69,Excelente custo-benefício.
AVAL-00123,VEND-0060,COMP-01746,2023-03-23,2022-01-30,3,241.164.220.2,Bom produto pelo preço.
AVAL-00124,VEND-0086,COMP-02921,2023-04-20,2021-09-07,4,82.180.176.102,"Produto ok, dentro do esperado."
AVAL-00125,VEND-0043,COMP-04850,2024-06-26,2024-06-20,5,192.168.1.105,Excelente produto! Recomendo muito!
AVAL-00126,VEND-0037,COMP-01675,2024-09-11,2023-03-14,3,2.138.207.183,"Veio com defeito, pedi troca."
AVAL-00127,VEND-0049,COMP-03978,2023-09-22,2021-09-26,2,198.4.217.184,Bom produto pelo preço.
AVAL-00128,VEND-0100,COMP-01834,2024-12-14,2023-04-20,2,163.235.36.151,
AVAL-00129,VEND-0063,COMP-04469,2024-01-22,2022-05-07,4,33.236.3.84,"Recomendo, boa experiência."
AVAL-00130,VEND-0006,COMP-04797,2023-04-21,2021-06-15,5,248.78.72.90,"Veio com defeito, pedi troca."
AVAL-00131,VEND-0017,COMP-03188,2024-06-05,2023-06-01,4,162.227.15.151,Produto diferente da foto.
AVAL-00132,VEND-0051,COMP-02072,2023-06-14,2022-08-27,1,191.167.138.196,"Produto ok, dentro do esperado."
AVAL-00133,VEND-0076,COMP-03394,2023-05-28,2023-03-24,4,197.81.243.151,"Recomendo, boa experiência."
AVAL-00134,VEND-0021,COMP-01644,2023-10-26,2022-12-08,4,91.49.210.71,Demorou um pouco mas chegou bem.
AVAL-00135,VEND-0095,COMP-02517,2023-11-08,2023-07-06,5,190.108.6.55,"Produto ok, dentro do esperado."
AVAL-00136,VEND-0047,COMP-03509,2024-01-31,2023-02-16,5,86.218.64.219,"Recomendo, boa experiência."
AVAL-00137,VEND-0033,COMP-00129,2023-01-21,2021-09-23,5,68.58.163.95,"Veio com defeito, pedi troca."
AVAL-00138,VEND-0080,COMP-02464,2023-08-19,2022-10-04,2,136.162.205.206,
AVAL-00139,VEND-0069,COMP-01011,2024-09-11,2023-09-05,2,52.137.194.123,"Recomendo, boa experiência."
AVAL-00140,VEND-0098,COMP-03596,2024-02-12,2023-01-14,3,114.184.250.103,Demorou um pouco mas chegou bem.
AVAL-00141,VEND-0014,COMP-00970,2024-08-18,2023-01-21,2,11.111.162.139,Produto diferente da foto.
AVAL-00142,VEND-0068,COMP-03676,2024-09-29,2023-07-23,1,173.71.156.38,Excelente custo-benefício.
AVAL-00143,VEND-0049,COMP-04599,2024-03-04,2023-11-11,3,223.159.133.143,Demorou um pouco mas chegou bem.
AVAL-00144,VEND-0044,COMP-01644,2023-11-23,2023-11-22,5,192.168.1.100,Melhor compra que já fiz! Recomendo!
AVAL-00145,VEND-0109,COMP-03538,2024-06-18,2024-01-26,4,87.168.254.189,"Veio com defeito, pedi troca."
AVAL-00146,VEND-0066,COMP-00134,2023-12-19,2022-04-10,3,120.131.229.136,"Veio com defeito, pedi troca."
AVAL-00147,VEND-0083,COMP-02402,2024-07-10,2024-04-01,5,19.45.89.93,Excelente custo-benefício.
AVAL-00148,VEND-0051,COMP-04524,2024-07-16,2023-08-03,5,147.130.28.197,Demorou um pouco mas chegou bem.
AVAL-00149,VEND-0030,COMP-00020,2023-12-03,2023-06-19,5,65.30.129.179,Demorou um pouco mas chegou bem.
AVAL-00150,VEND-0094,COMP-04896,2023-10-14,2022-03-23,5,233.83.203.87,Excelente custo-benefício.
AVAL-00151,VEND-0083,COMP-03984,2023-02-28,2023-01-02,3,216.120.164.227,Excelente custo-benefício.
AVAL-00152,VEND-0071,COMP-04122,2023-03-02,2022-11-22,2,91.39.147.146,Não gostei da qualidade.
AVAL-00153,VEND-0105,COMP-03615,2023-11-04,2023-07-05,3,49.67.166.154,Bom produto pelo preço.
AVAL-00154,VEND-0036,COMP-04294,2023-12-11,2023-02-28,4,106.56.128.137,Demorou um pouco mas chegou bem.
AVAL-00155,VEND-0069,COMP-00166,2024-05-21,2022-08-22,4,188.77.140.7,Excelente custo-benefício.
AVAL-00156,VEND-0007,COMP-00837,2024-11-12,2023-02-04,5,224.149.21.207,
AVAL-00157,VEND-0023,COMP-04141,2024-07-28,2024-06-18,5,78.74.52.33,Demorou um pouco mas chegou bem.
AVAL-00158,VEND-0050,COMP-04561,2024-11-07,2023-12-20,4,71.229.101.15,Bom produto pelo preço.
AVAL-00159,VEND-0083,COMP-01682,2023-04-09,2022-05-27,1,32.54.113.157,"Recomendo, boa experiência."
AVAL-00160,VEND-0048,COMP-01292,2023-04-16,2022-06-17,5,14.22.249.153,Demorou um pouco mas chegou bem.
AVAL-00161,VEND-0009,COMP-01357,2023-10-04,2023-03-06,4,211.16.176.121,"Produto ok, dentro do esperado."
AVAL-00162,VEND-0096,COMP-00632,2024-05-23,2023-01-19,5,165.86.212.86,Excelente custo-benefício.
AVAL-00163,VEND-0116,COMP-00375,2024-04-05,2023-03-20,5,237.175.76.161,"Recomendo, boa experiência."
AVAL-00164,VEND-0021,COMP-01323,2024-06-09,2024-03-19,1,5.231.62.233,"Veio com defeito, pedi troca."
AVAL-00165,VEND-0108,COMP-04038,2023-03-07,2022-08-03,3,213.226.116.172,Produto diferente da foto.
AVAL-00166,VEND-0074,COMP-01424,2023-07-30,2022-06-15,5,221.124.81.193,Demorou um pouco mas chegou bem.
AVAL-00167,VEND-0027,COMP-02484,2024-02-17,2023-12-26,2,79.100.57.211,"Recomendo, boa experiência."
AVAL-00168,VEND-0014,COMP-01893,2024-02-08,2022-10-29,1,200.134.156.68,Demorou um pouco mas chegou bem.
AVAL-00169,VEND-0002,COMP-02949,2024-09-25,2023-07-03,5,197.184.112.126,Produto diferente da foto.
AVAL-00170,VEND-0037,COMP-03561,2024-06-23,2022-07-23,5,127.242.202.153,"Produto ok, dentro do esperado."
AVAL-00171,VEND-0078,COMP-01407,2024-01-02,2023-03-04,4,113.151.180.224,Não gostei da qualidade.
AVAL-00172,VEND-0081,COMP-01609,2023-06-10,2022-12-29,2,110.171.254.76,
AVAL-00173,VEND-0107,COMP-02793,2023-09-01,2023-04-15,5,5.124.24.26,
AVAL-00174,VEND-0106,COMP-01492,2023-11-08,2023-07-30,5,53.151.204.18,Produto diferente da foto.
AVAL-00175,VEND-0012,COMP-02330,2024-05-01,2022-10-10,5,159.42.90.82,Demorou um pouco mas chegou bem.
AVAL-00176,VEND-0100,COMP-00121,2024-06-06,2023-11-08,3,131.215.91.41,
AVAL-00177,VEND-0011,COMP-00107,2023-01-08,2021-12-10,4,234.240.179.11,"Veio com defeito, pedi troca."
AVAL-00178,VEND-0039,COMP-01178,2023-05-30,2023-02-01,4,177.2.131.18,Produto diferente da foto.
AVAL-00179,VEND-0007,COMP-03316,2023-11-25,2022-05-01,5,103.212.228.239,"Recomendo, boa experiência."
AVAL-00180,VEND-0018,COMP-04604,2023-10-05,2021-12-07,2,29.233.102.176,Demorou um pouco mas chegou bem.
AVAL-00181,VEND-0056,COMP-02545,2024-11-17,2024-09-04,3,62.230.7.95,"Veio com defeito, pedi troca."
AVAL-00182,VEND-0064,COMP-01003,2023-09-30,2022-04-28,4,13.249.250.239,"Veio com defeito, pedi troca."
AVAL-00183,VEND-0025,COMP-01565,2024-12-07,2024-01-29,5,195.149.54.235,Excelente custo-benefício.
AVAL-00184,VEND-0086,COMP-00280,2023-12-08,2023-02-04,3,208.213.6.40,Bom produto pelo preço.
AVAL-00185,VEND-0110,COMP-02219,2024-03-08,2022-03-10,1,117.123.86.191,Bom produto pelo preço.
AVAL-00186,VEND-0037,COMP-01850,2024-01-27,2023-09-05,5,64.110.49.159,Não gostei da qualidade.
AVAL-00187,VEND-0033,COMP-00505,2023-12-28,2022-01-13,4,35.55.181.172,Produto diferente da foto.
AVAL-00188,VEND-0116,COMP-03326,2024-11-27,2024-02-24,5,16.56.16.82,"Recomendo, boa experiência."
AVAL-00189,VEND-0085,COMP-00774,2023-11-06,2023-07-23,4,189.216.76.17,"Produto ok, dentro do esperado."
AVAL-00190,VEND-0077,COMP-04621,2023-12-31,2023-06-19,5,160.185.238.37,"Recomendo, boa experiência."
AVAL-00191,VEND-0104,COMP-03867,2024-11-22,2023-12-18,5,161.77.20.239,Produto diferente da foto.
AVAL-00192,VEND-0088,COMP-02805,2024-09-04,2024-04-18,1,182.135.187.144,"Produto ok, dentro do esperado."
AVAL-00193,VEND-0021,COMP-03298,2024-01-19,2023-04-10,5,156.97.129.17,Bom produto pelo preço.
AVAL-00194,VEND-0057,COMP-02519,2024-02-28,2022-09-28,5,117.217.107.218,"Recomendo, boa experiência."
AVAL-00195,VEND-0114,COMP-03822,2024-07-17,2023-04-28,2,175.140.139.228,Demorou um pouco mas chegou bem.
AVAL-00196,VEND-0080,COMP-02999,2023-12-21,2022-02-13,4,237.202.46.54,Produto diferente da foto.
AVAL-00197,VEND-0020,COMP-01801,2023-08-26,2022-11-21,3,170.176.80.71,"Veio com defeito, pedi troca."
AVAL-00198,VEND-0111,COMP-00683,2023-02-24,2022-08-01,4,148.101.65.227,"Recomendo, boa experiência."
AVAL-00199,VEND-0044,COMP-03152,2024-12-21,2024-09-20,4,50.215.235.110,Produto diferente da foto.
AVAL-00200,VEND-0021,COMP-00547,2024-02-10,2023-06-30,3,22.42.218.239,"Recomendo, boa experiência."
AVAL-00201,VEND-0069,COMP-02471,2024-01-24,2023-04-16,4,253.59.194.138,"Veio com defeito, pedi troca."
AVAL-00202,VEND-0068,COMP-01987,2024-12-30,2024-07-21,3,37.218.97.246,Demorou um pouco mas chegou bem.
AVAL-00203,VEND-0046,COMP-04682,2023-12-05,2023-12-03,5,192.168.1.102,Melhor compra que já fiz! Recomendo!
AVAL-00204,VEND-0105,COMP-01942,2023-06-29,2022-03-01,3,53.86.239.39,Produto diferente da foto.
AVAL-00205,VEND-0094,COMP-03897,2024-10-16,2024-07-05,5,194.50.184.14,
AVAL-00206,VEND-0116,COMP-03389,2024-03-22,2022-07-22,4,165.217.174.2,"Produto ok, dentro do esperado."
AVAL-00207,VEND-0119,COMP-03827,2024-02-28,2023-04-21,3,114.116.1.99,"Recomendo, boa experiência."
AVAL-00208,VEND-0067,COMP-02203,2023-05-06,2022-02-20,2,171.90.209.215,Excelente custo-benefício.
AVAL-00209,VEND-0095,COMP-04645,2023-04-17,2022-06-17,5,10.26.252.128,"Produto ok, dentro do esperado."
AVAL-00210,VEND-0071,COMP-02466,2023-04-18,2022-07-25,5,105.39.215.180,Excelente custo-benefício.
AVAL-00211,VEND-0076,COMP-01612,2024-06-11,2023-01-05,4,200.24.68.255,"Produto ok, dentro do esperado."
AVAL-00212,VEND-0031,COMP-04949,2023-06-03,2021-12-02,4,191.110.243.1,Não gostei da qualidade.
AVAL-00213,VEND-0022,COMP-02335,2023-06-12,2022-09-26,5,254.163.242.118,Não gostei da qualidade.
AVAL-00214,VEND-0026,COMP-04696,2023-11-06,2023-02-15,2,11.47.179.33,Não gostei da qualidade.
AVAL-00215,VEND-0104,COMP-04040,2024-07-30,2024-02-14,4,254.136.211.19,Demorou um pouco mas chegou bem.
AVAL-00216,VEND-0095,COMP-04991,2024-11-16,2024-01-06,4,2.187.222.4,Não gostei da qualidade.
AVAL-00217,VEND-0026,COMP-00135,2023-04-29,2021-07-25,1,190.246.34.151,Demorou um pouco mas chegou bem.
AVAL-00218,VEND-0005,COMP-01267,2024-02-28,2022-03-27,3,134.251.91.20,"Veio com defeito, pedi troca."
AVAL-00219,VEND-0120,COMP-00494,2024-11-03,2023-12-01,4,23.252.123.28,"Veio com defeito, pedi troca."
AVAL-00220,VEND-0081,COMP-04490,2023-12-07,2022-08-30,1,95.250.28.20,"Veio com defeito, pedi troca."
AVAL-00221,VEND-0042,COMP-00549,2023-07-07,2022-09-12,2,31.27.253.54,
AVAL-00222,VEND-0029,COMP-03954,2023-03-21,2021-08-11,5,251.174.215.66,Excelente custo-benefício.
AVAL-00223,VEND-0112,COMP-03942,2024-10-31,2023-09-15,3,148.6.86.164,"Veio com defeito, pedi troca."
AVAL-00224,VEND-0031,COMP-00893,2023-08-08,2023-02-17,4,235.48.186.224,Demorou um pouco mas chegou bem.
AVAL-00225,VEND-0034,COMP-00852,2024-06-24,2023-05-24,1,98.205.246.233,Produto diferente da foto.
AVAL-00226,VEND-0034,COMP-00841,2023-05-15,2021-11-29,4,246.84.187.103,Demorou um pouco mas chegou bem.
AVAL-00227,VEND-0014,COMP-04101,2023-09-23,2022-01-25,3,239.243.153.55,
AVAL-00228,VEND-0101,COMP-00058,2024-03-15,2022-10-22,1,191.76.115.157,Excelente custo-benefício.
AVAL-00229,VEND-0014,COMP-04365,2024-04-30,2022-07-25,4,205.127.62.149,
AVAL-00230,VEND-0101,COMP-01547,2023-12-28,2023-10-01,5,218.114.58.154,"Veio com defeito, pedi troca."
AVAL-00231,VEND-0117,COMP-02331,2024-07-04,2024-01-07,5,175.198.205.19,Não gostei da qualidade.
AVAL-00232,VEND-0060,COMP-04213,2023-03-01,2022-04-17,4,37.183.175.31,"Recomendo, boa experiência."
AVAL-00233,VEND-0020,COMP-04762,2024-06-28,2023-12-15,4,127.67.24.15,Não gostei da qualidade.
AVAL-00234,VEND-0064,COMP-03796,2023-07-08,2022-11-23,4,64.91.98.58,Não gostei da qualidade.
AVAL-00235,VEND-0036,COMP-00972,2023-10-06,2022-04-12,3,38.51.18.109,Não gostei da qualidade.
